id,x,y,LAYER,type
1,91.85855244,22.38543277,Electric_Pole,PW
2,91.85962969,22.38625704,Electric_Pole,PW
3,91.88331532,22.39803092,Electric_Pole,PS
4,91.88596695,22.39831345,Electric_Pole,PW
5,91.86851805,22.39425331,Electric_Pole,PW
6,91.86426992,22.39190805,Electric_Pole,PS
7,91.86861869,22.39494131,Electric_Pole,PW
8,91.87255349,22.39519142,Electric_Pole,PW
9,91.86774436,22.40205901,Electric_Pole,PS
10,91.83337721,22.37119105,Electric_Pole,PW
11,91.83780558,22.368347,Electric_Pole,PW
61,91.85450491,22.33696125,Electric_Pole,PW
62,91.85275386,22.33664124,Electric_Pole,PW
63,91.85041198,22.33520033,Electric_Pole,PS
64,91.84662692,22.33407599,Electric_Pole,PW
65,91.84698355,22.33038733,Electric_Pole,PW
66,91.84626264,22.33057322,Electric_Pole,PS
67,91.84021087,22.33426049,Electric_Pole,PW
68,91.84972495,22.33122279,Electric_Pole,PW
69,91.85312942,22.34232089,Electric_Pole,PS
70,91.82325826,22.34269069,Electric_Pole,PW
71,91.82830457,22.33978988,Electric_Pole,PW
72,91.81373665,22.33843057,Electric_Pole,PS
73,91.82240855,22.33702842,Electric_Pole,PW
74,91.82285766,22.33997546,Electric_Pole,PW
75,91.82274416,22.34002307,Electric_Pole,PS
76,91.82012485,22.33473915,Electric_Pole,PW
77,91.82496665,22.33610874,Electric_Pole,PW
78,91.8297745,22.33544818,Electric_Pole,PS
79,91.83383501,22.34398058,Electric_Pole,PW
80,91.83040849,22.34193996,Electric_Pole,PW
81,91.83365321,22.33871598,Electric_Pole,PS
82,91.83151351,22.33720074,Electric_Pole,PW
83,91.81699319,22.45725148,Electric_Pole,PW
84,91.81663786,22.46122501,Electric_Pole,PS
85,91.81659653,22.46515382,Electric_Pole,PW
86,91.81630591,22.46682934,Electric_Pole,PW
87,91.88741719,22.4032368,Electric_Pole,PS
88,91.81900985,22.41628006,Electric_Pole,PW
89,91.81923798,22.41577391,Electric_Pole,PW
90,91.81992544,22.42070577,Electric_Pole,PS
91,91.81954523,22.41908868,Electric_Pole,PW
92,91.81997872,22.42155774,Electric_Pole,PW
93,91.81976401,22.42322741,Electric_Pole,PS
94,91.81944584,22.42549472,Electric_Pole,PW
95,91.88288286,22.40860339,Electric_Pole,PW
96,91.87925527,22.40355147,Electric_Pole,PS
97,91.88200043,22.40603294,Electric_Pole,PW
98,91.87901808,22.40470732,Electric_Pole,PW
99,91.87737866,22.40384833,Electric_Pole,PS
100,91.87666271,22.40383825,Electric_Pole,PW
101,91.88276806,22.40287639,Electric_Pole,PW
102,91.83345255,22.3990581,Electric_Pole,PS
156,91.8118834,22.37852803,Electric_Pole,PS
157,91.82936863,22.38169771,Electric_Pole,PW
158,91.81084275,22.38288419,Electric_Pole,PW
159,91.8105028,22.38996896,Electric_Pole,PS
160,91.81072146,22.38680039,Electric_Pole,PW
161,91.82520594,22.3863755,Electric_Pole,PW
162,91.81128715,22.39117865,Electric_Pole,PS
163,91.82510613,22.38687888,Electric_Pole,PW
164,91.82369706,22.39079756,Electric_Pole,PW
165,91.83003438,22.34851943,Electric_Pole,PS
166,91.82548928,22.34741081,Electric_Pole,PW
167,91.82790449,22.35417435,Electric_Pole,PW
168,91.82827757,22.36063294,Electric_Pole,PS
169,91.8283044,22.3608729,Electric_Pole,PW
170,91.82595433,22.3587768,Electric_Pole,PW
171,91.82563684,22.35867051,Electric_Pole,PS
172,91.82188012,22.35142124,Electric_Pole,PW
173,91.82155761,22.35933801,Electric_Pole,PW
174,91.81944386,22.36812928,Electric_Pole,PS
175,91.82248347,22.36657597,Electric_Pole,PW
176,91.82267511,22.36643725,Electric_Pole,PW
177,91.82470963,22.36720512,Electric_Pole,PS
178,91.8244235,22.36709958,Electric_Pole,PW
179,91.83464501,22.36335271,Electric_Pole,PW
180,91.83306881,22.36920952,Electric_Pole,PS
181,91.82828545,22.3683094,Electric_Pole,PW
182,91.83047756,22.36333288,Electric_Pole,PW
183,91.83340236,22.34801162,Electric_Pole,PS
184,91.82309079,22.34656302,Electric_Pole,PW
185,91.82487396,22.34955389,Electric_Pole,PW
186,91.82914512,22.25244057,Electric_Pole,PS
187,91.79106635,22.27962829,Electric_Pole,PW
188,91.78893133,22.27938072,Electric_Pole,PW
189,91.78381739,22.2803351,Electric_Pole,PS
190,91.78080187,22.27950251,Electric_Pole,PW
191,91.78554492,22.27832502,Electric_Pole,PW
192,91.78490853,22.28051314,Electric_Pole,PS
193,91.78227257,22.27774285,Electric_Pole,PW
194,91.78217564,22.27878741,Electric_Pole,PW
195,91.78223648,22.27959421,Electric_Pole,PS
196,91.78041162,22.27901065,Electric_Pole,PW
197,91.79680985,22.26970255,Electric_Pole,PW
198,91.79172771,22.2701657,Electric_Pole,PS
199,91.79940506,22.27712534,Electric_Pole,PW
200,91.77814383,22.276636,Electric_Pole,PW
201,91.77413397,22.27835469,Electric_Pole,PS
202,91.77717133,22.27703654,Electric_Pole,PW
203,91.77482683,22.27698706,Electric_Pole,PW
204,91.77747876,22.27850439,Electric_Pole,PS
205,91.77807656,22.2789655,Electric_Pole,PW
